"Day4","Day12","Day20","Day28","Day36","Day44","Day52","Day60","Day68","Day76","Day84","Day92","Day100","Day108","Day116","Day124","Day132","Day140","Day148","Day156","Day164","Day172","Day180","Day188","Day196","Day204","Day212","Day220","Day228","Day236","Day244","Day252","Day260","Day268","Day276","Day284","Day292","Day300","Day308","Day316","Day324","Day332","Day340","Day348","Day356","Day364"
0.2,0.1998,0.1996,0.1995,0.1994,0.1994,0.1994,0.1994,0.1994,0.1994,0.1994,0.1994,0.1994,0.1994,0.3239,0.4852,0.5619,0.6296,0.6538,0.6538,0.6336,0.6336,0.641,0.6484,0.6975,0.6975,0.6703,0.6703,0.6628,0.6298,0.622,0.6006,0.6005,0.5386,0.5161,0.3755,0.3045,0.2945,0.2922,0.2866,0.2852,0.265,0.265,0.2722,0.2748,0.2758
0.2564,0.2564,0.2564,0.2564,0.2564,0.2564,0.2564,0.2564,0.2563,0.2562,0.2561,0.2558,0.2555,0.2555,0.3318,0.5005,0.6428,0.6766,0.7019,0.7032,0.7048,0.7048,0.7048,0.7161,0.7271,0.7271,0.7271,0.7242,0.7242,0.699,0.6982,0.6982,0.6879,0.6784,0.6223,0.4702,0.3541,0.294,0.2811,0.2759,0.2759,0.2759,0.2652,0.2535,0.2535,0.254
0.2746,0.2741,0.2739,0.2737,0.2736,0.2735,0.2735,0.2735,0.2735,0.2735,0.2735,0.2735,0.2735,0.2735,0.3147,0.4381,0.537,0.55,0.5543,0.5717,0.6567,0.6686,0.6754,0.6754,0.6667,0.6667,0.6755,0.6755,0.6649,0.6504,0.649,0.6442,0.5696,0.5696,0.5696,0.3986,0.3184,0.3082,0.3068,0.3068,0.3117,0.3117,0.3012,0.2914,0.2914,0.2998
0.2537,0.2537,0.2537,0.2537,0.2538,0.2539,0.2541,0.2543,0.2547,0.2553,0.2561,0.2579,0.2593,0.265,0.3545,0.4825,0.6039,0.6117,0.6175,0.6234,0.6576,0.6822,0.6822,0.6822,0.6887,0.6993,0.7187,0.7187,0.7076,0.644,0.644,0.644,0.6231,0.6093,0.592,0.4747,0.3251,0.2893,0.2833,0.2833,0.2881,0.2881,0.282,0.2759,0.269,0.2651
0.2576,0.2576,0.2577,0.2577,0.2578,0.258,0.2582,0.2585,0.259,0.2598,0.2609,0.2633,0.2652,0.2728,0.3386,0.4551,0.5631,0.6551,0.6567,0.6663,0.6788,0.6904,0.6904,0.7093,0.7126,0.7189,0.7189,0.679,0.6542,0.6542,0.6636,0.6636,0.5819,0.5253,0.5141,0.3868,0.2966,0.2767,0.2744,0.271,0.252,0.2503,0.2503,0.2509,0.2533,0.2581
0.2495,0.2492,0.249,0.2489,0.2488,0.2487,0.2487,0.2487,0.2487,0.2487,0.2487,0.2487,0.2487,0.2487,0.3233,0.5511,0.5959,0.6158,0.6484,0.6614,0.6665,0.6665,0.6678,0.6678,0.6678,0.6693,0.6778,0.6778,0.6778,0.6389,0.603,0.5991,0.5914,0.5324,0.5205,0.3915,0.34,0.2785,0.2785,0.2785,0.2722,0.2379,0.2379,0.2409,0.2485,0.275
0.2035,0.2035,0.2035,0.2036,0.2037,0.2039,0.2042,0.2046,0.2052,0.2062,0.2076,0.2105,0.2129,0.2224,0.3077,0.5673,0.6284,0.675,0.7268,0.7268,0.7155,0.7155,0.7173,0.7175,0.723,0.7433,0.7433,0.7124,0.696,0.6836,0.6713,0.6392,0.6014,0.5999,0.5985,0.4607,0.304,0.2626,0.2468,0.2468,0.2468,0.2232,0.2122,0.2122,0.2384,0.239
0.2579,0.2576,0.2575,0.2574,0.2573,0.2573,0.2573,0.2573,0.2573,0.2573,0.2573,0.2573,0.2573,0.2573,0.3038,0.4685,0.6211,0.627,0.628,0.6378,0.6813,0.6815,0.6815,0.6815,0.6995,0.718,0.718,0.7132,0.7093,0.6976,0.6723,0.6699,0.6489,0.6086,0.5887,0.4638,0.3387,0.2976,0.2844,0.2821,0.2785,0.2666,0.2666,0.2722,0.2722,0.2531
0.2318,0.2318,0.2318,0.2319,0.232,0.2321,0.2323,0.2326,0.233,0.2338,0.2348,0.237,0.2388,0.2458,0.298,0.4177,0.5285,0.6021,0.6035,0.605,0.6371,0.6417,0.6417,0.6568,0.6568,0.6568,0.6591,0.6591,0.6421,0.6333,0.6276,0.6276,0.6085,0.5805,0.5322,0.3761,0.3143,0.2684,0.2663,0.2643,0.2643,0.2719,0.2719,0.2701,0.2635,0.2635
0.2298,0.2298,0.2299,0.2299,0.23,0.2301,0.2303,0.2306,0.231,0.2317,0.2326,0.2346,0.2362,0.2426,0.3079,0.5057,0.6078,0.6301,0.638,0.6668,0.6668,0.6698,0.7036,0.7052,0.7052,0.7052,0.6951,0.6951,0.6855,0.6826,0.655,0.6327,0.6233,0.6011,0.5501,0.4507,0.2885,0.2469,0.2442,0.2442,0.2442,0.23,0.2133,0.1966,0.1966,0.2148
0.2883,0.288,0.2878,0.2877,0.2876,0.2876,0.2876,0.2876,0.2876,0.2876,0.2876,0.2876,0.2876,0.2876,0.322,0.4876,0.6158,0.626,0.6322,0.6404,0.6571,0.658,0.6764,0.6764,0.6698,0.6639,0.6595,0.6524,0.627,0.6014,0.5968,0.5819,0.5637,0.5419,0.5309,0.4621,0.3758,0.3407,0.3288,0.3034,0.2995,0.2976,0.2838,0.2831,0.2831,0.2826
